Source,InformationFlow,Destination,SourceLayer,DestLayer
Bangkok Emergency Management Center,decision support information,Bangkok Ambulance OBE 03,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Ambulance OBE 04,Physical,Physical
Bangkok Emergency Management Center,decision support information,Bangkok Ambulance OBE 05,Physical,Physical
Kanya Duangkamol - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 01,Physical,Physical
Kanya Duangkamol - Bangkok Emergency Personnel,personnel input,Apple iPhone 16,Physical,Physical
Lalana Chakrii - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 02,Physical,Physical
Lalana Chakrii - Bangkok Emergency Personnel,personnel input,Apple iPhone 16 Plus,Physical,Physical
Malai Hiranchai - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 03,Physical,Physical
Malai Hiranchai - Bangkok Emergency Personnel,personnel input,Apple iPhone 16 Pro,Physical,Physical
Nathamon Jaikieow - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 04,Physical,Physical
Nathamon Jaikieow - Bangkok Emergency Personnel,personnel input,Apple iPhone 16 Pro Max,Physical,Physical
Pimchanok Krungthep - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 05,Physical,Physical
Pimchanok Krungthep - Bangkok Emergency Personnel,personnel input,Apple iPhone SE,Physical,Physical
Piyanan Karawek - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 06,Physical,Physical
Piyanan Karawek - Bangkok Emergency Personnel,personnel input,Apple iPhone 16e,Physical,Physical
Ratanakorn Adulyadej - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 07,Physical,Physical
Ratanakorn Adulyadej - Bangkok Emergency Personnel,personnel input,Samsung Galaxy S25,Physical,Physical
Saranya Amarin - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Fire Truck OBE 01,Physical,Physical
Saranya Amarin - Bangkok Emergency Personnel,personnel input,Samsung Galaxy S25 Plus,Physical,Physical
Sasi Ambhom - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Fire Truck OBE 02,Physical,Physical
Sasi Ambhom - Bangkok Emergency Personnel,personnel input,Samsung Galaxy S25 Ultra,Physical,Physical
Sukanya Kasem - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Fire Truck OBE 03,Physical,Physical
Sukanya Kasem - Bangkok Emergency Personnel,personnel input,Samsung Galaxy S24 Ultra,Physical,Physical
Tanya Khamkaeo - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 01,Physical,Physical
Tanya Khamkaeo - Bangkok Emergency Personnel,personnel input,Samsung Galaxy S24 FE,Physical,Physical
Thanida Khamwaen - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 02,Physical,Physical
Thanida Khamwaen - Bangkok Emergency Personnel,personnel input,Samsung Galaxy Z Flip 6,Physical,Physical
Thanya Khemkaeng - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 03,Physical,Physical
Thanya Khemkaeng - Bangkok Emergency Personnel,personnel input,Google Pixel 9,Physical,Physical
Umporn Kul - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 04,Physical,Physical
Umporn Kul - Bangkok Emergency Personnel,personnel input,Google Pixel 9 Pro,Physical,Physical
Usanee Lueangsuwan - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 05,Physical,Physical
Usanee Lueangsuwan - Bangkok Emergency Personnel,personnel input,Google Pixel 9 Pro Fold,Physical,Physical
Wanwan Madeua - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 01,Physical,Physical
Wanwan Madeua - Bangkok Emergency Personnel,personnel input,Google Pixel 8a,Physical,Physical
Wongwan Patana - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 02,Physical,Physical
Wongwan Patana - Bangkok Emergency Personnel,personnel input,Google Pixel 9a,Physical,Physical
Yada Pitak - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 03,Physical,Physical
Yada Pitak - Bangkok Emergency Personnel,personnel input,OnePlus 13,Physical,Physical
Yothaka Pong - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 04,Physical,Physical
Yothaka Pong - Bangkok Emergency Personnel,personnel input,OnePlus Open,Physical,Physical
Phromphun Chaiyasing - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 05,Physical,Physical
Phromphun Chaiyasing - Bangkok Emergency Personnel,personnel input,Asus ROG Phone 9 Pro,Physical,Physical
Phromthong Charoen - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 06,Physical,Physical
Phromthong Charoen - Bangkok Emergency Personnel,personnel input,Nothing Phone 3a Pro,Physical,Physical
Phussadee Bun Ma - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Police Car OBE 07,Physical,Physical
Phussadee Bun Ma - Bangkok Emergency Personnel,personnel input,Motorola Razr Plus,Physical,Physical
Rattana Thong Di - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Fire Truck OBE 01,Physical,Physical
Rattana Thong Di - Bangkok Emergency Personnel,personnel input,Xiaomi Mi Mix Fold 4,Physical,Physical
Saran Shinawatra - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Fire Truck OBE 02,Physical,Physical
Saran Shinawatra - Bangkok Emergency Personnel,personnel input,Xiaomi Redmi Note 14 Pro,Physical,Physical
Tanthira Somsri - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Fire Truck OBE 03,Physical,Physical
Tanthira Somsri - Bangkok Emergency Personnel,personnel input,Xiaomi Poco F5 Pro,Physical,Physical
Anucha Boonmee - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 01,Physical,Physical
Anucha Boonmee - Bangkok Emergency Personnel,personnel input,Oppo Find N3 Flip,Physical,Physical
Chutima Rattanapong - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 02,Physical,Physical
Chutima Rattanapong - Bangkok Emergency Personnel,personnel input,Oppo Reno10 Pro+,Physical,Physical
Nattapong Wongchai - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 03,Physical,Physical
Nattapong Wongchai - Bangkok Emergency Personnel,personnel input,Vivo X100 Pro+,Physical,Physical
Supaporn Jitprasert - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 04,Physical,Physical
Supaporn Jitprasert - Bangkok Emergency Personnel,personnel input,Vivo V29 Pro,Physical,Physical
Waraporn Suksawat - Bangkok Emergency Personnel,Emergency Personnel input,Bangkok Ambulance OBE 05,Physical,Physical
Waraporn Suksawat - Bangkok Emergency Personnel,personnel input,Honor Magic Vs2,Physical,Physical
Somchai Saetang - Bangkok Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Arthit Saelim - Bangkok Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Kittisak Ayutthaya - Bangkok Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Somsak Chen - Bangkok Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Kanokwan Charoensuk - Bangkok Emergency System Operator,emergency operations input,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 01,Emergency Personnel information presentation,Kanya Duangkamol - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 01,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 01,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 01,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 01,decision support information,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 01,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 01,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Apple iPhone 16 Plus,Physical,Physical
Bangkok Police Car OBE 01,incident scene status,Apple iPhone 16,Physical,Physical
Bangkok Police Car OBE 01,incident scene images,Apple iPhone 16,Physical,Physical
Bangkok Police Car OBE 01,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 01,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 01,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 01,Emergency Personnel information presentation,Wanwan Madeua - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 02,Emergency Personnel information presentation,Lalana Chakrii - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 02,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 02,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 02,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 02,decision support information,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 02,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 02,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Apple iPhone 16 Pro,Physical,Physical
Bangkok Police Car OBE 01,incident scene status,Apple iPhone 16 Plus,Physical,Physical
Bangkok Police Car OBE 01,incident scene images,Apple iPhone 16 Plus,Physical,Physical
Bangkok Police Car OBE 02,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 02,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 02,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 02,Emergency Personnel information presentation,Wongwan Patana - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 03,Emergency Personnel information presentation,Malai Hiranchai - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 03,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 03,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 03,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 03,decision support information,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 03,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 03,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Apple iPhone 16 Pro Max,Physical,Physical
Bangkok Police Car OBE 02,incident scene status,Apple iPhone 16 Pro,Physical,Physical
Bangkok Police Car OBE 02,incident scene images,Apple iPhone 16 Pro,Physical,Physical
Bangkok Police Car OBE 03,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 03,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 03,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 03,Emergency Personnel information presentation,Yada Pitak - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 04,Emergency Personnel information presentation,Nathamon Jaikieow - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 04,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 04,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 04,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 04,decision support information,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 04,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 04,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Apple iPhone SE,Physical,Physical
Bangkok Police Car OBE 02,incident scene status,Apple iPhone 16 Pro Max,Physical,Physical
Bangkok Police Car OBE 02,incident scene images,Apple iPhone 16 Pro Max,Physical,Physical
Bangkok Police Car OBE 04,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 04,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 04,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 04,Emergency Personnel information presentation,Yothaka Pong - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 05,Emergency Personnel information presentation,Pimchanok Krungthep - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 05,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 05,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 05,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 05,decision support information,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 05,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 05,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Apple iPhone 16e,Physical,Physical
Bangkok Police Car OBE 03,incident scene status,Apple iPhone SE,Physical,Physical
Bangkok Police Car OBE 03,incident scene images,Apple iPhone SE,Physical,Physical
Bangkok Police Car OBE 05,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 05,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 05,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 05,Emergency Personnel information presentation,Phromphun Chaiyasing - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 06,Emergency Personnel information presentation,Piyanan Karawek - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 06,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 06,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 06,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 06,decision support information,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 06,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 06,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Samsung Galaxy S25,Physical,Physical
Bangkok Police Car OBE 03,incident scene status,Apple iPhone 16e,Physical,Physical
Bangkok Police Car OBE 03,incident scene images,Apple iPhone 16e,Physical,Physical
Bangkok Police Car OBE 06,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 06,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 06,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 06,Emergency Personnel information presentation,Phromthong Charoen - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 07,Emergency Personnel information presentation,Ratanakorn Adulyadej - Bangkok Emergency Personnel,Physical,Physical
Bangkok Police Car OBE 07,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 07,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 07,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 07,decision support information,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 07,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Police Car OBE 07,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Samsung Galaxy S25 Plus,Physical,Physical
Bangkok Police Car OBE 04,incident scene status,Samsung Galaxy S25,Physical,Physical
Bangkok Police Car OBE 04,incident scene images,Samsung Galaxy S25,Physical,Physical
Bangkok Police Car OBE 07,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 07,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 07,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Police Car OBE 07,Emergency Personnel information presentation,Phussadee Bun Ma - Bangkok Emergency Personnel,Physical,Physical
Bangkok Fire Truck OBE 01,Emergency Personnel information presentation,Saranya Amarin - Bangkok Emergency Personnel,Physical,Physical
Bangkok Fire Truck OBE 01,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 01,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 01,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 01,decision support information,Other EV OBEs,Physical,Physical
Bangkok Fire Truck OBE 01,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Fire Truck OBE 01,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Samsung Galaxy S25 Ultra,Physical,Physical
Bangkok Police Car OBE 04,incident scene status,Samsung Galaxy S25 Plus,Physical,Physical
Bangkok Police Car OBE 04,incident scene images,Samsung Galaxy S25 Plus,Physical,Physical
Bangkok Fire Truck OBE 01,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 01,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 01,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 01,Emergency Personnel information presentation,Rattana Thong Di - Bangkok Emergency Personnel,Physical,Physical
Bangkok Fire Truck OBE 02,Emergency Personnel information presentation,Sasi Ambhom - Bangkok Emergency Personnel,Physical,Physical
Bangkok Fire Truck OBE 02,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 02,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 02,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 02,decision support information,Other EV OBEs,Physical,Physical
Bangkok Fire Truck OBE 02,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Fire Truck OBE 02,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Samsung Galaxy S24 Ultra,Physical,Physical
Bangkok Police Car OBE 05,incident scene status,Samsung Galaxy S25 Ultra,Physical,Physical
Bangkok Police Car OBE 05,incident scene images,Samsung Galaxy S25 Ultra,Physical,Physical
Bangkok Fire Truck OBE 02,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 02,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 02,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 02,Emergency Personnel information presentation,Saran Shinawatra - Bangkok Emergency Personnel,Physical,Physical
Bangkok Fire Truck OBE 03,Emergency Personnel information presentation,Sukanya Kasem - Bangkok Emergency Personnel,Physical,Physical
Bangkok Fire Truck OBE 03,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 03,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 03,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 03,decision support information,Other EV OBEs,Physical,Physical
Bangkok Fire Truck OBE 03,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Fire Truck OBE 03,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Samsung Galaxy S24 FE,Physical,Physical
Bangkok Police Car OBE 05,incident scene status,Samsung Galaxy S24 Ultra,Physical,Physical
Bangkok Police Car OBE 05,incident scene images,Samsung Galaxy S24 Ultra,Physical,Physical
Bangkok Fire Truck OBE 03,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 03,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 03,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Fire Truck OBE 03,Emergency Personnel information presentation,Tanthira Somsri - Bangkok Emergency Personnel,Physical,Physical
Bangkok Ambulance OBE 01,Emergency Personnel information presentation,Tanya Khamkaeo - Bangkok Emergency Personnel,Physical,Physical
Bangkok Ambulance OBE 01,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 01,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 01,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 01,decision support information,Other EV OBEs,Physical,Physical
Bangkok Ambulance OBE 01,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Ambulance OBE 01,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Samsung Galaxy Z Flip 6,Physical,Physical
Bangkok Police Car OBE 06,incident scene status,Samsung Galaxy S24 FE,Physical,Physical
Bangkok Police Car OBE 06,incident scene images,Samsung Galaxy S24 FE,Physical,Physical
Bangkok Ambulance OBE 01,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 01,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 01,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 01,Emergency Personnel information presentation,Anucha Boonmee - Bangkok Emergency Personnel,Physical,Physical
Bangkok Ambulance OBE 02,Emergency Personnel information presentation,Thanida Khamwaen - Bangkok Emergency Personnel,Physical,Physical
Bangkok Ambulance OBE 02,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 02,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 02,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 02,decision support information,Other EV OBEs,Physical,Physical
Bangkok Ambulance OBE 02,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Ambulance OBE 02,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Google Pixel 9,Physical,Physical
Bangkok Police Car OBE 06,incident scene status,Samsung Galaxy Z Flip 6,Physical,Physical
Bangkok Police Car OBE 06,incident scene images,Samsung Galaxy Z Flip 6,Physical,Physical
Bangkok Ambulance OBE 02,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 02,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 02,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 02,Emergency Personnel information presentation,Chutima Rattanapong - Bangkok Emergency Personnel,Physical,Physical
Bangkok Ambulance OBE 03,Emergency Personnel information presentation,Thanya Khemkaeng - Bangkok Emergency Personnel,Physical,Physical
Bangkok Ambulance OBE 03,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 03,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 03,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 03,decision support information,Other EV OBEs,Physical,Physical
Bangkok Ambulance OBE 03,incident scene status,Other EV OBEs,Physical,Physical
Bangkok Ambulance OBE 03,incident scene images,Other EV OBEs,Physical,Physical
Bangkok Emergency Management Center,decision support information,Google Pixel 9 Pro,Physical,Physical
Bangkok Police Car OBE 07,incident scene status,Google Pixel 9,Physical,Physical
Bangkok Police Car OBE 07,incident scene images,Google Pixel 9,Physical,Physical
Bangkok Ambulance OBE 03,incident scene status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 03,incident scene images,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 03,patient transport status,Bangkok Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 03,Emergency Personnel information presentation,Nattapong Wongchai - Bangkok Emergency Personnel,Physical,Physical
Bangkok Ambulance OBE 04,Emergency Personnel information presentation,Umporn Kul - Bangkok Emergency Personnel,Physical,Physical
Bangkok Ambulance OBE 04,incident scene status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 04,incident scene images,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 04,patient transport status,Khorathidin Central Emergency Management Center,Physical,Physical
Bangkok Ambulance OBE 04,decision support information,Other EV OBEs,Physical,Physical
