NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Curve Speed Warning,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Curve Speed Warning,Physical
Basic Vehicle,,,,,Curve Speed Warning,Physical
Vehicle Characteristics,,,,,Curve Speed Warning,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Curve Speed Warning,Physical
Data Distribution System,Class 4,High,High,Moderate,Data Distribution,Physical
Other Data Distribution Systems,Class 4,High,High,Moderate,Data Distribution,Physical
Data Distribution System Operator,,,,,Data Distribution,Physical
ITS Object,Class 4,High,High,Moderate,Data Distribution,Physical
Transportation Information Center,Class 4,High,High,Moderate,Shared Use Mobility and Dynamic Ridesharing,Physical
Personal Information Device,Class 5,High,High,High,Shared Use Mobility and Dynamic Ridesharing,Physical
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility and Dynamic Ridesharing,Physical
TIC Operator,,,,,Shared Use Mobility and Dynamic Ridesharing,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility and Dynamic Ridesharing,Physical
Payment Device,Class 5,Moderate,Moderate,High,Shared Use Mobility and Dynamic Ridesharing,Physical
Traveler,,,,,Shared Use Mobility and Dynamic Ridesharing,Physical
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Shared Use Mobility and Dynamic Ridesharing,Physical
Shared Use Transportation Center,Class 4,High,High,Moderate,Shared Use Mobility and Dynamic Ridesharing,Physical
Micromobility Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Shared Use Mobility and Dynamic Ridesharing,Physical
SUTC Operator,,,,,Shared Use Mobility and Dynamic Ridesharing,Physical
Light Vehicle OBE,Class 4,High,High,Moderate,Shared Use Mobility and Dynamic Ridesharing,Physical
Light Vehicle Driver,,,,,Shared Use Mobility and Dynamic Ridesharing,Physical
Driver,,,,,Eco-Lanes Management,Physical
Vehicle,Class 2,Moderate,Moderate,Moderate,Eco-Lanes Management,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Eco-Lanes Management,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Eco-Lanes Management,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Eco-Lanes Management,Physical
Transportation Information Center,Class 1,Low,Moderate,Moderate,Eco-Lanes Management,Physical
Transit Management Center,Class 1,Low,Low,Moderate,Eco-Lanes Management,Physical
Traffic Operations Personnel,,,,,Eco-Lanes Management,Physical
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Eco-Lanes Management,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Eco-Lanes Management,Physical
Other Traffic Management Centers,Class 1,Low,Moderate,Moderate,Eco-Lanes Management,Physical
Vehicle Characteristics,,,,,Eco-Lanes Management,Physical
Driver,,,,,Low Emissions Zone Management,Physical
Vehicle,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Low Emissions Zone Management,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Low Emissions Zone Management,Physical
Personal Information Device,Class 4,High,High,Moderate,Low Emissions Zone Management,Physical
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management,Physical
Traffic Operations Personnel,,,,,Low Emissions Zone Management,Physical
Emissions Management Center,Class 3,Moderate,High,Moderate,Low Emissions Zone Management,Physical
Weather Service System,Class 1,Low,Moderate,Low,Low Emissions Zone Management,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management,Physical
Payment Administration Center,Class 5,High,High,High,Low Emissions Zone Management,Physical
ITS Roadway Payment Equipment,Class 5,High,High,High,Low Emissions Zone Management,Physical
Emissions Management Operator,,,,,Low Emissions Zone Management,Physical
Event Promoter System,Class 3,Moderate,High,Moderate,Low Emissions Zone Management,Physical
Payment Device,Class 5,Moderate,Moderate,High,Low Emissions Zone Management,Physical
Payment Administrator,,,,,Low Emissions Zone Management,Physical
DMV,Class 4,High,High,Moderate,Low Emissions Zone Management,Physical
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Low Emissions Zone Management,Physical
Vehicle Characteristics,,,,,Low Emissions Zone Management,Physical
Light Vehicle OBE,Class 5,High,High,High,Low Emissions Zone Management,Physical
Light Vehicle Driver,,,,,Low Emissions Zone Management,Physical
Driver,,,,,Eco-Traffic Signal Timing,Physical
Vehicle,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Signal Timing,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Eco-Traffic Signal Timing,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Eco-Traffic Signal Timing,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Signal Timing,Physical
Traffic Operations Personnel,,,,,Eco-Traffic Signal Timing,Physical
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Signal Timing,Physical
Pedestrian,,,,,Eco-Traffic Signal Timing,Physical
MMV User,,,,,Eco-Traffic Signal Timing,Physical
Vehicle Characteristics,,,,,Eco-Traffic Signal Timing,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Eco-Traffic Signal Timing,Physical
Transportation Information Center,Class 1,Low,Moderate,Moderate,Electric Charging Stations Management,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Electric Charging Stations Management,Physical
Payment Administration Center,Class 2,Moderate,Moderate,Moderate,Electric Charging Stations Management,Physical
Payment Device,Class 5,Moderate,Moderate,High,Electric Charging Stations Management,Physical
Electric Charging Station,Class 5,Moderate,Moderate,High,Electric Charging Stations Management,Physical
Basic Vehicle,,,,,Electric Charging Stations Management,Physical
Electric Utility,Class 2,Moderate,Moderate,Moderate,Electric Charging Stations Management,Physical
Light Vehicle OBE,Class 5,Moderate,Moderate,High,Electric Charging Stations Management,Physical
Light Vehicle Driver,,,,,Electric Charging Stations Management,Physical
Electric Charging Management Center,Class 2,Moderate,Moderate,Moderate,Electric Charging Stations Management,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption,Physical
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,Emergency Vehicle Preemption,Physical
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption,Physical
Emergency Personnel,,,,,Emergency Vehicle Preemption,Physical
Emergency Management Center,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption,Physical
Driver,,,,,Special Vehicle Alert,Physical
Vehicle,Class 1,Low,Low,Moderate,Special Vehicle Alert,Physical
Commercial Vehicle OBE,Class 3,Not Applicable,High,Moderate,Special Vehicle Alert,Physical
Transportation Information Center,Class 3,Moderate,High,Moderate,Special Vehicle Alert,Physical
Commercial Vehicle Driver,,,,,Special Vehicle Alert,Physical
Transit Vehicle Operator,,,,,Special Vehicle Alert,Physical
Transit Vehicle OBE,Class 3,Not Applicable,High,Moderate,Special Vehicle Alert,Physical
Maint and Constr Vehicle OBE,Class 3,Not Applicable,High,Moderate,Special Vehicle Alert,Physical
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Special Vehicle Alert,Physical
Emergency Personnel,,,,,Special Vehicle Alert,Physical
Emergency Management Center,Class 3,Moderate,High,Moderate,Special Vehicle Alert,Physical
Other Transportation Information Centers,Class 3,Moderate,High,Moderate,Special Vehicle Alert,Physical
Basic Vehicle,,,,,Special Vehicle Alert,Physical
Maint and Constr Vehicle Operator,,,,,Special Vehicle Alert,Physical
Vehicle Characteristics,,,,,Special Vehicle Alert,Physical
Traffic Management Center,Class 1,Low,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Maint and Constr Management Center,Class 5,Low,High,High,Freight-Specific Dynamic Travel Planning,Physical
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Commercial Vehicle OBE,Class 4,High,High,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Transportation Information Center,Class 5,Moderate,Moderate,High,Freight-Specific Dynamic Travel Planning,Physical
Intermodal Customer System,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Freight Distribution and Logistics Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Freight Consolidation Station,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Payment Administration Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Emergency Management Center,Class 1,Low,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Freight Signal Priority,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Freight Signal Priority,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Freight Signal Priority,Physical
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Freight Signal Priority,Physical
Commercial Vehicle OBE,Class 4,High,High,Moderate,Freight Signal Priority,Physical
Fleet and Freight Management Center,Class 4,High,High,Moderate,Freight Signal Priority,Physical
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,Freight Signal Priority,Physical
Commercial Vehicle Driver,,,,,Freight Signal Priority,Physical
Basic Commercial Vehicle,,,,,Freight Signal Priority,Physical
Driver,,,,,Intermittent Bus Lanes,Physical
Vehicle,Class 3,Moderate,High,Moderate,Intermittent Bus Lanes,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Intermittent Bus Lanes,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Intermittent Bus Lanes,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Intermittent Bus Lanes,Physical
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Intermittent Bus Lanes,Physical
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Intermittent Bus Lanes,Physical
Transit Vehicle Operator,,,,,Intermittent Bus Lanes,Physical
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Intermittent Bus Lanes,Physical
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Intermittent Bus Lanes,Physical
Basic Vehicle,,,,,Intermittent Bus Lanes,Physical
Vehicle Characteristics,,,,,Intermittent Bus Lanes,Physical
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Integrated Multi-Modal Electronic Payment,Physical
Personal Information Device,Class 5,High,High,High,Integrated Multi-Modal Electronic Payment,Physical
Transit Management Center,Class 4,High,High,Moderate,Integrated Multi-Modal Electronic Payment,Physical
Transit Vehicle OBE,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment,Physical
Financial Center,Class 2,Moderate,Moderate,Moderate,Integrated Multi-Modal Electronic Payment,Physical
Payment Administration Center,Class 5,High,High,High,Integrated Multi-Modal Electronic Payment,Physical
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment,Physical
Payment Device,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment,Physical
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Integrated Multi-Modal Electronic Payment,Physical
Parking Area Equipment,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment,Physical
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment,Physical
Parking Management Center,Class 4,High,High,Moderate,Integrated Multi-Modal Electronic Payment,Physical
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,Integrated Multi-Modal Electronic Payment,Physical
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,Integrated Multi-Modal Electronic Payment,Physical
Light Vehicle OBE,Class 5,High,High,High,Integrated Multi-Modal Electronic Payment,Physical
Driver,,,,,Incident Scene Safety Monitoring,Physical
Vehicle,Class 3,Low,High,Moderate,Incident Scene Safety Monitoring,Physical
Traffic Management Center,Class 4,High,High,Moderate,Incident Scene Safety Monitoring,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Incident Scene Safety Monitoring,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Incident Scene Safety Monitoring,Physical
Transportation Information Center,Class 1,Low,Low,Moderate,Incident Scene Safety Monitoring,Physical
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Incident Scene Safety Monitoring,Physical
Emergency Personnel,Class 1,Not Applicable,Moderate,Low,Incident Scene Safety Monitoring,Physical
Emergency Management Center,Class 4,High,High,Moderate,Incident Scene Safety Monitoring,Physical
Other EV OBEs,Class 2,Moderate,Moderate,Moderate,Incident Scene Safety Monitoring,Physical
Basic Emergency Vehicle,,,,,Incident Scene Safety Monitoring,Physical
Basic Vehicle,,,,,Incident Scene Safety Monitoring,Physical
Personnel Device,Class 3,Not Applicable,High,Moderate,Incident Scene Safety Monitoring,Physical
Vehicle Characteristics,,,,,Incident Scene Safety Monitoring,Physical
Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response,Physical
Emergency Personnel,,,,,Emergency Response,Physical
Emergency Management Center,Class 5,High,High,High,Emergency Response,Physical
Other Emergency Management Centers,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Emergency System Operator,,,,,Emergency Response,Physical
Other EV OBEs,Class 2,Moderate,Moderate,Moderate,Emergency Response,Physical
Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Vehicle,Class 1,Low,Moderate,Moderate,Road Weather Information for Freight Carriers,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Road Weather Information for Freight Carriers,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Road Weather Information for Freight Carriers,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Road Weather Information for Freight Carriers,Physical
Commercial Vehicle OBE,Class 1,Low,Moderate,Moderate,Road Weather Information for Freight Carriers,Physical
Fleet and Freight Management Center,Class 3,Low,High,Moderate,Road Weather Information for Freight Carriers,Physical
Transportation Information Center,Class 3,Low,High,Moderate,Road Weather Information for Freight Carriers,Physical
Commercial Vehicle Driver,,,,,Road Weather Information for Freight Carriers,Physical
Fleet-Freight Manager,,,,,Road Weather Information for Freight Carriers,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Road Weather Information for Freight Carriers,Physical
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Road Weather Information for Freight Carriers,Physical
Basic Commercial Vehicle,,,,,Road Weather Information for Freight Carriers,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Road Weather Information for Freight Carriers,Physical
Driver,,,,,Connected Vehicle Traffic Signal System,Physical
Vehicle,Class 2,Moderate,Moderate,Moderate,Connected Vehicle Traffic Signal System,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Connected Vehicle Traffic Signal System,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Connected Vehicle Traffic Signal System,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Connected Vehicle Traffic Signal System,Physical
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Connected Vehicle Traffic Signal System,Physical
Traffic Operations Personnel,,,,,Connected Vehicle Traffic Signal System,Physical
Pedestrian,,,,,Connected Vehicle Traffic Signal System,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Connected Vehicle Traffic Signal System,Physical
MMV User,,,,,Connected Vehicle Traffic Signal System,Physical
Vehicle Characteristics,,,,,Connected Vehicle Traffic Signal System,Physical
Driver,,,,,Road Weather Motorist Alert and Warning,Physical
Vehicle,Class 1,Low,Moderate,Moderate,Road Weather Motorist Alert and Warning,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Road Weather Motorist Alert and Warning,Physical
Maint and Constr Management Center,Class 1,Low,Low,Moderate,Road Weather Motorist Alert and Warning,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Road Weather Motorist Alert and Warning,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Road Weather Motorist Alert and Warning,Physical
Transportation Information Center,Class 3,Low,High,Moderate,Road Weather Motorist Alert and Warning,Physical
Traffic Operations Personnel,,,,,Road Weather Motorist Alert and Warning,Physical
Weather Service System,Class 1,Low,Moderate,Moderate,Road Weather Motorist Alert and Warning,Physical
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Road Weather Motorist Alert and Warning,Physical
Basic Vehicle,,,,,Road Weather Motorist Alert and Warning,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Road Weather Motorist Alert and Warning,Physical
Driver,,,,,Oversize Vehicle Warning,Physical
Vehicle,Class 1,Low,Moderate,Moderate,Oversize Vehicle Warning,Physical
Traffic Management Center,Class 5,Moderate,High,High,Oversize Vehicle Warning,Physical
Maint and Constr Management Center,Class 5,Low,High,High,Oversize Vehicle Warning,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Oversize Vehicle Warning,Physical
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Oversize Vehicle Warning,Physical
Basic Vehicle,,,,,Oversize Vehicle Warning,Physical
Vehicle Characteristics,,,,,Oversize Vehicle Warning,Physical
Driver,,,,,Vulnerable Road User Safety,Physical
Vehicle,Class 3,Low,High,Moderate,Vulnerable Road User Safety,Physical
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Vulnerable Road User Safety,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Vulnerable Road User Safety,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Vulnerable Road User Safety,Physical
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Vulnerable Road User Safety,Physical
Personal Information Device,Class 3,Low,High,Moderate,Vulnerable Road User Safety,Physical
Pedestrian,,,,,Vulnerable Road User Safety,Physical
Basic Vehicle,,,,,Vulnerable Road User Safety,Physical
MMV User,,,,,Vulnerable Road User Safety,Physical
Vulnerable Road Users,,,,,Vulnerable Road User Safety,Physical
Micromobility Vehicle OBE,Class 3,Low,High,Moderate,Vulnerable Road User Safety,Physical
Driver,,,,,Queue Warning,Physical
Vehicle,Class 3,Moderate,High,Moderate,Queue Warning,Physical
Other Vehicles,Class 3,Low,High,Moderate,Queue Warning,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Queue Warning,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Queue Warning,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Queue Warning,Physical
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Queue Warning,Physical
Traffic Operations Personnel,,,,,Queue Warning,Physical
Other Traffic Management Centers,Class 1,Low,Moderate,Moderate,Queue Warning,Physical
Basic Vehicle,,,,,Queue Warning,Physical
Vehicle Characteristics,,,,,Queue Warning,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Queue Warning,Physical
Driver,,,,,Advanced Railroad Grade Crossing,Physical
Vehicle,Class 3,Low,High,Moderate,Advanced Railroad Grade Crossing,Physical
Traffic Management Center,Class 5,Moderate,High,High,Advanced Railroad Grade Crossing,Physical
ITS Roadway Equipment,Class 5,Moderate,High,High,Advanced Railroad Grade Crossing,Physical
Connected Vehicle Roadside Equipment,Class 5,Moderate,High,High,Advanced Railroad Grade Crossing,Physical
Personal Information Device,Class 5,Not Applicable,High,High,Advanced Railroad Grade Crossing,Physical
Wayside Equipment,Class 5,Moderate,High,High,Advanced Railroad Grade Crossing,Physical
Pedestrian,,,,,Advanced Railroad Grade Crossing,Physical
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Advanced Railroad Grade Crossing,Physical
Rail Operations Center,Class 2,Moderate,Moderate,Moderate,Advanced Railroad Grade Crossing,Physical
MMV User,,,,,Advanced Railroad Grade Crossing,Physical
Traffic Management Center,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Maint and Constr Management Center,Class 5,Moderate,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Freight Equipment,,,,,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Commercial Vehicle OBE,Class 5,Moderate,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Fleet and Freight Management Center,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Transportation Information Center,Class 1,Low,Moderate,Moderate,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Emergency Vehicle OBE,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Emergency Personnel,,,,,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
DMV,Class 4,High,High,Moderate,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Emergency Management Center,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Care Facility,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Other EV OBEs,Class 2,Moderate,Moderate,Moderate,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Basic Emergency Vehicle,,,,,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders,Physical
Driver,,,,,Intersection Safety Warning and Collision Avoidance,Physical
Vehicle,Class 3,Low,High,Moderate,Intersection Safety Warning and Collision Avoidance,Physical
Other Vehicles,Class 3,Low,High,Moderate,Intersection Safety Warning and Collision Avoidance,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Intersection Safety Warning and Collision Avoidance,Physical
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Intersection Safety Warning and Collision Avoidance,Physical
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Intersection Safety Warning and Collision Avoidance,Physical
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Intersection Safety Warning and Collision Avoidance,Physical
Basic Vehicle,,,,,Intersection Safety Warning and Collision Avoidance,Physical
Vehicle Characteristics,,,,,Intersection Safety Warning and Collision Avoidance,Physical
Roadway Environment,Class 1,Not Applicable,Low,Low,Intersection Safety Warning and Collision Avoidance,Physical
Potential Obstacles,,,,,Intersection Safety Warning and Collision Avoidance,Physical
Vulnerable Road Users,,,,,Intersection Safety Warning and Collision Avoidance,Physical
Driver,,,,,Restricted Lane Warnings,Physical
Vehicle,Class 1,Low,Moderate,Moderate,Restricted Lane Warnings,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Restricted Lane Warnings,Physical
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Restricted Lane Warnings,Physical
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Restricted Lane Warnings,Physical
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Restricted Lane Warnings,Physical
Traffic Operations Personnel,,,,,Restricted Lane Warnings,Physical
Basic Vehicle,,,,,Restricted Lane Warnings,Physical
Driver,,,,,Reduced Speed Zone Warning / Lane Closure,Physical
Vehicle,Class 1,Low,Moderate,Moderate,Reduced Speed Zone Warning / Lane Closure,Physical
Traffic Management Center,Class 3,Moderate,High,Moderate,Reduced Speed Zone Warning / Lane Closure,Physical
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Reduced Speed Zone Warning / Lane Closure,Physical
