NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage,ArchitectyreType
Khorathindin Central Emergency Personnel 09,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 10,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 11,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 12,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 13,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 14,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 15,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 16,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 17,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 18,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 19,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 20,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 21,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 22,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 23,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 24,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 25,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 26,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 27,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 28,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 29,,,,,Emergency Response,Physical
Khorathindin Central Emergency Personnel 30,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 01,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 02,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 03,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 04,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 05,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 06,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 07,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 08,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 09,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 10,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 11,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 12,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 13,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 14,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 15,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 16,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 17,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 18,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 19,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 20,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 21,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 22,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 23,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 24,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 25,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 26,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 27,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 28,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 29,,,,,Emergency Response,Physical
Bangkok Emergency Personnel 30,,,,,Emergency Response,Physical
Personnel Device 01,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 02,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 03,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 04,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 05,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 06,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 07,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 08,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 09,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 10,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 11,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 12,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 13,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 14,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 15,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 16,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 17,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 18,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 19,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 20,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 21,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 22,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 23,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 24,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 25,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 26,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 27,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 28,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 29,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 30,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 31,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 32,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 33,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 34,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 35,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 36,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 37,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 38,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 39,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 40,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 41,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 42,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 43,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 44,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 45,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 46,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 47,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 48,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 49,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 50,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 51,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 52,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 53,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 54,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 55,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 56,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 57,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 58,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 59,Class 3,Moderate,High,Moderate,Emergency Response,Physical
Personnel Device 60,Class 3,Moderate,High,Moderate,Emergency Response,Physical
