NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage
Light Vehicle OBE,Class 4,High,High,Moderate,Shared Use Mobility and Dynamic Ridesharing
Light Vehicle Driver,,,,,Shared Use Mobility and Dynamic Ridesharing
Driver,,,,,Eco-Lanes Management
Vehicle,Class 2,Moderate,Moderate,Moderate,Eco-Lanes Management
Traffic Management Center,Class 3,Moderate,High,Moderate,Eco-Lanes Management
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Eco-Lanes Management
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Eco-Lanes Management
Transportation Information Center,Class 1,Low,Moderate,Moderate,Eco-Lanes Management
Transit Management Center,Class 1,Low,Low,Moderate,Eco-Lanes Management
Traffic Operations Personnel,,,,,Eco-Lanes Management
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Eco-Lanes Management
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Eco-Lanes Management
Other Traffic Management Centers,Class 1,Low,Moderate,Moderate,Eco-Lanes Management
Vehicle Characteristics,,,,,Eco-Lanes Management
Driver,,,,,Low Emissions Zone Management
Vehicle,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management
Traffic Management Center,Class 3,Moderate,High,Moderate,Low Emissions Zone Management
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management
Transportation Information Center,Class 1,Low,Low,Moderate,Low Emissions Zone Management
Personal Information Device,Class 4,High,High,Moderate,Low Emissions Zone Management
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management
Traffic Operations Personnel,,,,,Low Emissions Zone Management
Emissions Management Center,Class 3,Moderate,High,Moderate,Low Emissions Zone Management
Weather Service System,Class 1,Low,Moderate,Low,Low Emissions Zone Management
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management
Financial Center,Class 2,Moderate,Moderate,Moderate,Low Emissions Zone Management
Payment Administration Center,Class 5,High,High,High,Low Emissions Zone Management
ITS Roadway Payment Equipment,Class 5,High,High,High,Low Emissions Zone Management
Emissions Management Operator,,,,,Low Emissions Zone Management
Event Promoter System,Class 3,Moderate,High,Moderate,Low Emissions Zone Management
Payment Device,Class 5,Moderate,Moderate,High,Low Emissions Zone Management
Payment Administrator,,,,,Low Emissions Zone Management
DMV,Class 4,High,High,Moderate,Low Emissions Zone Management
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Low Emissions Zone Management
Vehicle Characteristics,,,,,Low Emissions Zone Management
Light Vehicle OBE,Class 5,High,High,High,Low Emissions Zone Management
Light Vehicle Driver,,,,,Low Emissions Zone Management
Driver,,,,,Eco-Traffic Signal Timing
Vehicle,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Signal Timing
Traffic Management Center,Class 3,Moderate,High,Moderate,Eco-Traffic Signal Timing
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Eco-Traffic Signal Timing
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Signal Timing
Traffic Operations Personnel,,,,,Eco-Traffic Signal Timing
Emissions Management Center,Class 2,Moderate,Moderate,Moderate,Eco-Traffic Signal Timing
Pedestrian,,,,,Eco-Traffic Signal Timing
MMV User,,,,,Eco-Traffic Signal Timing
Vehicle Characteristics,,,,,Eco-Traffic Signal Timing
Roadway Environment,Class 1,Not Applicable,Low,Low,Eco-Traffic Signal Timing
Transportation Information Center,Class 1,Low,Moderate,Moderate,Electric Charging Stations Management
Financial Center,Class 2,Moderate,Moderate,Moderate,Electric Charging Stations Management
Payment Administration Center,Class 2,Moderate,Moderate,Moderate,Electric Charging Stations Management
Payment Device,Class 5,Moderate,Moderate,High,Electric Charging Stations Management
Electric Charging Station,Class 5,Moderate,Moderate,High,Electric Charging Stations Management
Basic Vehicle,,,,,Electric Charging Stations Management
Electric Utility,Class 2,Moderate,Moderate,Moderate,Electric Charging Stations Management
Light Vehicle OBE,Class 5,Moderate,Moderate,High,Electric Charging Stations Management
Light Vehicle Driver,,,,,Electric Charging Stations Management
Electric Charging Management Center,Class 2,Moderate,Moderate,Moderate,Electric Charging Stations Management
Traffic Management Center,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,Emergency Vehicle Preemption
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption
Emergency Personnel,,,,,Emergency Vehicle Preemption
Emergency Management Center,Class 3,Moderate,High,Moderate,Emergency Vehicle Preemption
Driver,,,,,Special Vehicle Alert
Vehicle,Class 1,Low,Low,Moderate,Special Vehicle Alert
Commercial Vehicle OBE,Class 3,Not Applicable,High,Moderate,Special Vehicle Alert
Transportation Information Center,Class 3,Moderate,High,Moderate,Special Vehicle Alert
Commercial Vehicle Driver,,,,,Special Vehicle Alert
Transit Vehicle Operator,,,,,Special Vehicle Alert
Transit Vehicle OBE,Class 3,Not Applicable,High,Moderate,Special Vehicle Alert
Maint and Constr Vehicle OBE,Class 3,Not Applicable,High,Moderate,Special Vehicle Alert
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Special Vehicle Alert
Emergency Personnel,,,,,Special Vehicle Alert
Emergency Management Center,Class 3,Moderate,High,Moderate,Special Vehicle Alert
Other Transportation Information Centers,Class 3,Moderate,High,Moderate,Special Vehicle Alert
Basic Vehicle,,,,,Special Vehicle Alert
Maint and Constr Vehicle Operator,,,,,Special Vehicle Alert
Vehicle Characteristics,,,,,Special Vehicle Alert
Traffic Management Center,Class 1,Low,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Maint and Constr Management Center,Class 5,Low,High,High,Freight-Specific Dynamic Travel Planning
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Commercial Vehicle OBE,Class 4,High,High,Moderate,Freight-Specific Dynamic Travel Planning
Fleet and Freight Management Center,Class 4,High,High,Moderate,Freight-Specific Dynamic Travel Planning
Transportation Information Center,Class 5,Moderate,Moderate,High,Freight-Specific Dynamic Travel Planning
Intermodal Customer System,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Freight Distribution and Logistics Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Freight Consolidation Station,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Weather Service System,Class 1,Low,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Financial Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Payment Administration Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Emergency Management Center,Class 1,Low,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Other Transportation Information Centers,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Freight-Specific Dynamic Travel Planning
Traffic Management Center,Class 3,Moderate,High,Moderate,Freight Signal Priority
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Freight Signal Priority
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Freight Signal Priority
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Freight Signal Priority
Commercial Vehicle OBE,Class 4,High,High,Moderate,Freight Signal Priority
Fleet and Freight Management Center,Class 4,High,High,Moderate,Freight Signal Priority
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,Freight Signal Priority
Commercial Vehicle Driver,,,,,Freight Signal Priority
Basic Commercial Vehicle,,,,,Freight Signal Priority
Driver,,,,,Intermittent Bus Lanes
Vehicle,Class 3,Moderate,High,Moderate,Intermittent Bus Lanes
Traffic Management Center,Class 3,Moderate,High,Moderate,Intermittent Bus Lanes
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Intermittent Bus Lanes
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Intermittent Bus Lanes
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Intermittent Bus Lanes
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Intermittent Bus Lanes
Transit Vehicle Operator,,,,,Intermittent Bus Lanes
Transit Vehicle OBE,Class 1,Low,Moderate,Moderate,Intermittent Bus Lanes
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Intermittent Bus Lanes
Basic Vehicle,,,,,Intermittent Bus Lanes
Vehicle Characteristics,,,,,Intermittent Bus Lanes
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Integrated Multi-Modal Electronic Payment
Personal Information Device,Class 5,High,High,High,Integrated Multi-Modal Electronic Payment
Transit Management Center,Class 4,High,High,Moderate,Integrated Multi-Modal Electronic Payment
Transit Vehicle OBE,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment
Financial Center,Class 2,Moderate,Moderate,Moderate,Integrated Multi-Modal Electronic Payment
Payment Administration Center,Class 5,High,High,High,Integrated Multi-Modal Electronic Payment
ITS Roadway Payment Equipment,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment
Payment Device,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment
Other Payment Administration Centers,Class 3,Moderate,High,Moderate,Integrated Multi-Modal Electronic Payment
Parking Area Equipment,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment
Traveler Support Equipment,Class 5,Moderate,Moderate,High,Integrated Multi-Modal Electronic Payment
Parking Management Center,Class 4,High,High,Moderate,Integrated Multi-Modal Electronic Payment
Shared Use Transportation Center,Class 2,Moderate,Moderate,Moderate,Integrated Multi-Modal Electronic Payment
Eligibility Certification Management System,Class 2,Moderate,Moderate,Moderate,Integrated Multi-Modal Electronic Payment
Light Vehicle OBE,Class 5,High,High,High,Integrated Multi-Modal Electronic Payment
Driver,,,,,Incident Scene Safety Monitoring
Vehicle,Class 3,Low,High,Moderate,Incident Scene Safety Monitoring
Traffic Management Center,Class 4,High,High,Moderate,Incident Scene Safety Monitoring
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Incident Scene Safety Monitoring
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Incident Scene Safety Monitoring
Transportation Information Center,Class 1,Low,Low,Moderate,Incident Scene Safety Monitoring
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Incident Scene Safety Monitoring
Emergency Personnel,Class 1,Not Applicable,Moderate,Low,Incident Scene Safety Monitoring
Emergency Management Center,Class 4,High,High,Moderate,Incident Scene Safety Monitoring
Other EV OBEs,Class 2,Moderate,Moderate,Moderate,Incident Scene Safety Monitoring
Basic Emergency Vehicle,,,,,Incident Scene Safety Monitoring
Basic Vehicle,,,,,Incident Scene Safety Monitoring
Personnel Device,Class 3,Not Applicable,High,Moderate,Incident Scene Safety Monitoring
Vehicle Characteristics,,,,,Incident Scene Safety Monitoring
Emergency Vehicle OBE,Class 5,High,High,High,Emergency Response
Emergency Personnel,,,,,Emergency Response
Emergency Management Center,Class 5,High,High,High,Emergency Response
Other Emergency Management Centers,Class 2,Moderate,Moderate,Moderate,Emergency Response
Emergency System Operator,,,,,Emergency Response
Other EV OBEs,Class 2,Moderate,Moderate,Moderate,Emergency Response
Personnel Device,Class 3,Moderate,High,Moderate,Emergency Response
Vehicle,Class 1,Low,Moderate,Moderate,Road Weather Information for Freight Carriers
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Road Weather Information for Freight Carriers
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Road Weather Information for Freight Carriers
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Road Weather Information for Freight Carriers
Commercial Vehicle OBE,Class 1,Low,Moderate,Moderate,Road Weather Information for Freight Carriers
Fleet and Freight Management Center,Class 3,Low,High,Moderate,Road Weather Information for Freight Carriers
Transportation Information Center,Class 3,Low,High,Moderate,Road Weather Information for Freight Carriers
Commercial Vehicle Driver,,,,,Road Weather Information for Freight Carriers
Fleet-Freight Manager,,,,,Road Weather Information for Freight Carriers
Weather Service System,Class 1,Low,Moderate,Moderate,Road Weather Information for Freight Carriers
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Road Weather Information for Freight Carriers
Basic Commercial Vehicle,,,,,Road Weather Information for Freight Carriers
Roadway Environment,Class 1,Not Applicable,Low,Low,Road Weather Information for Freight Carriers
Driver,,,,,Connected Vehicle Traffic Signal System
Vehicle,Class 2,Moderate,Moderate,Moderate,Connected Vehicle Traffic Signal System
Traffic Management Center,Class 3,Moderate,High,Moderate,Connected Vehicle Traffic Signal System
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Connected Vehicle Traffic Signal System
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Connected Vehicle Traffic Signal System
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Connected Vehicle Traffic Signal System
Traffic Operations Personnel,,,,,Connected Vehicle Traffic Signal System
Pedestrian,,,,,Connected Vehicle Traffic Signal System
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Connected Vehicle Traffic Signal System
MMV User,,,,,Connected Vehicle Traffic Signal System
Vehicle Characteristics,,,,,Connected Vehicle Traffic Signal System
Driver,,,,,Road Weather Motorist Alert and Warning
Vehicle,Class 1,Low,Moderate,Moderate,Road Weather Motorist Alert and Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,Road Weather Motorist Alert and Warning
Maint and Constr Management Center,Class 1,Low,Low,Moderate,Road Weather Motorist Alert and Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Road Weather Motorist Alert and Warning
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Road Weather Motorist Alert and Warning
Transportation Information Center,Class 3,Low,High,Moderate,Road Weather Motorist Alert and Warning
Traffic Operations Personnel,,,,,Road Weather Motorist Alert and Warning
Weather Service System,Class 1,Low,Moderate,Moderate,Road Weather Motorist Alert and Warning
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Road Weather Motorist Alert and Warning
Basic Vehicle,,,,,Road Weather Motorist Alert and Warning
Roadway Environment,Class 1,Not Applicable,Low,Low,Road Weather Motorist Alert and Warning
Driver,,,,,Oversize Vehicle Warning
Vehicle,Class 1,Low,Moderate,Moderate,Oversize Vehicle Warning
Traffic Management Center,Class 5,Moderate,High,High,Oversize Vehicle Warning
Maint and Constr Management Center,Class 5,Low,High,High,Oversize Vehicle Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Oversize Vehicle Warning
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Moderate,Oversize Vehicle Warning
Basic Vehicle,,,,,Oversize Vehicle Warning
Vehicle Characteristics,,,,,Oversize Vehicle Warning
Driver,,,,,Vulnerable Road User Safety
Vehicle,Class 3,Low,High,Moderate,Vulnerable Road User Safety
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Vulnerable Road User Safety
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Vulnerable Road User Safety
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Vulnerable Road User Safety
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Vulnerable Road User Safety
Personal Information Device,Class 3,Low,High,Moderate,Vulnerable Road User Safety
Pedestrian,,,,,Vulnerable Road User Safety
Basic Vehicle,,,,,Vulnerable Road User Safety
MMV User,,,,,Vulnerable Road User Safety
Vulnerable Road Users,,,,,Vulnerable Road User Safety
Micromobility Vehicle OBE,Class 3,Low,High,Moderate,Vulnerable Road User Safety
Driver,,,,,Queue Warning
Vehicle,Class 3,Moderate,High,Moderate,Queue Warning
Other Vehicles,Class 3,Low,High,Moderate,Queue Warning
Traffic Management Center,Class 3,Moderate,High,Moderate,Queue Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Queue Warning
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Queue Warning
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Queue Warning
Traffic Operations Personnel,,,,,Queue Warning
Other Traffic Management Centers,Class 1,Low,Moderate,Moderate,Queue Warning
Basic Vehicle,,,,,Queue Warning
Vehicle Characteristics,,,,,Queue Warning
Roadway Environment,Class 1,Not Applicable,Low,Low,Queue Warning
Driver,,,,,Advanced Railroad Grade Crossing
Vehicle,Class 3,Low,High,Moderate,Advanced Railroad Grade Crossing
Traffic Management Center,Class 5,Moderate,High,High,Advanced Railroad Grade Crossing
ITS Roadway Equipment,Class 5,Moderate,High,High,Advanced Railroad Grade Crossing
Connected Vehicle Roadside Equipment,Class 5,Moderate,High,High,Advanced Railroad Grade Crossing
Personal Information Device,Class 5,Not Applicable,High,High,Advanced Railroad Grade Crossing
Wayside Equipment,Class 5,Moderate,High,High,Advanced Railroad Grade Crossing
Pedestrian,,,,,Advanced Railroad Grade Crossing
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Advanced Railroad Grade Crossing
Rail Operations Center,Class 2,Moderate,Moderate,Moderate,Advanced Railroad Grade Crossing
MMV User,,,,,Advanced Railroad Grade Crossing
Traffic Management Center,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Maint and Constr Management Center,Class 5,Moderate,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Freight Equipment,,,,,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Commercial Vehicle OBE,Class 5,Moderate,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Fleet and Freight Management Center,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Transportation Information Center,Class 1,Low,Moderate,Moderate,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Emergency Vehicle OBE,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Emergency Personnel,,,,,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
DMV,Class 4,High,High,Moderate,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Emergency Management Center,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Care Facility,Class 5,High,High,High,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Other EV OBEs,Class 2,Moderate,Moderate,Moderate,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Basic Emergency Vehicle,,,,,Incident Scene Pre-Arrival Staging Guidance for Emergency Responders
Driver,,,,,Intersection Safety Warning and Collision Avoidance
Vehicle,Class 3,Low,High,Moderate,Intersection Safety Warning and Collision Avoidance
Other Vehicles,Class 3,Low,High,Moderate,Intersection Safety Warning and Collision Avoidance
Traffic Management Center,Class 3,Moderate,High,Moderate,Intersection Safety Warning and Collision Avoidance
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Intersection Safety Warning and Collision Avoidance
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Intersection Safety Warning and Collision Avoidance
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Intersection Safety Warning and Collision Avoidance
Basic Vehicle,,,,,Intersection Safety Warning and Collision Avoidance
Vehicle Characteristics,,,,,Intersection Safety Warning and Collision Avoidance
Roadway Environment,Class 1,Not Applicable,Low,Low,Intersection Safety Warning and Collision Avoidance
Potential Obstacles,,,,,Intersection Safety Warning and Collision Avoidance
Vulnerable Road Users,,,,,Intersection Safety Warning and Collision Avoidance
Driver,,,,,Restricted Lane Warnings
Vehicle,Class 1,Low,Moderate,Moderate,Restricted Lane Warnings
Traffic Management Center,Class 3,Moderate,High,Moderate,Restricted Lane Warnings
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Restricted Lane Warnings
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Restricted Lane Warnings
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Restricted Lane Warnings
Traffic Operations Personnel,,,,,Restricted Lane Warnings
Basic Vehicle,,,,,Restricted Lane Warnings
Driver,,,,,Reduced Speed Zone Warning / Lane Closure
Vehicle,Class 1,Low,Moderate,Moderate,Reduced Speed Zone Warning / Lane Closure
Traffic Management Center,Class 3,Moderate,High,Moderate,Reduced Speed Zone Warning / Lane Closure
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Reduced Speed Zone Warning / Lane Closure
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Reduced Speed Zone Warning / Lane Closure
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Reduced Speed Zone Warning / Lane Closure
Transportation Information Center,Class 1,Low,Moderate,Moderate,Reduced Speed Zone Warning / Lane Closure
Basic Vehicle,,,,,Reduced Speed Zone Warning / Lane Closure
Vehicle Characteristics,,,,,Reduced Speed Zone Warning / Lane Closure
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Route ID for the Visually Impaired
Personal Information Device,Class 3,Moderate,High,Moderate,Route ID for the Visually Impaired
Transit Management Center,Class 2,Moderate,Moderate,Moderate,Route ID for the Visually Impaired
Transit Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Route ID for the Visually Impaired
Traveler,,,,,Route ID for the Visually Impaired
Traveler Support Equipment,Class 2,Moderate,Moderate,Moderate,Route ID for the Visually Impaired
Driver,,,,,Situational Awareness
Vehicle,Class 3,Low,High,Moderate,Situational Awareness
Other Vehicles,Class 3,Low,High,Moderate,Situational Awareness
ITS Roadway Equipment,Class 3,Not Applicable,High,Moderate,Situational Awareness
Connected Vehicle Roadside Equipment,Class 3,Not Applicable,High,Moderate,Situational Awareness
Basic Vehicle,,,,,Situational Awareness
Other Connected Vehicle Roadside Equipment,Class 3,Not Applicable,High,Moderate,Situational Awareness
Vehicle Characteristics,,,,,Situational Awareness
Roadway Environment,Class 1,Not Applicable,Low,Low,Situational Awareness
Potential Obstacles,,,,,Situational Awareness
Vulnerable Road Users,,,,,Situational Awareness
Cooperative ITS Credentials Management System,Class 5,High,High,High,Security and Credentials Management
Credentials Management System Operator,,,,,Security and Credentials Management
Other Credentials Management Systems,Class 5,High,High,High,Security and Credentials Management
ITS Object,Class 5,High,High,High,Security and Credentials Management
Identifier Registry,Class 3,Low,High,Low,Security and Credentials Management
Driver,,,,,Eco-Approach and Departure at Signalized Intersections
Vehicle,Class 3,Low,High,Moderate,Eco-Approach and Departure at Signalized Intersections
Other Vehicles,Class 3,Not Applicable,High,Moderate,Eco-Approach and Departure at Signalized Intersections
Traffic Management Center,Class 3,Moderate,High,Moderate,Eco-Approach and Departure at Signalized Intersections
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Eco-Approach and Departure at Signalized Intersections
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Eco-Approach and Departure at Signalized Intersections
Transportation Information Center,Class 1,Not Applicable,Moderate,Moderate,Eco-Approach and Departure at Signalized Intersections
Driver,,,,,Speed Harmonization
Vehicle,Class 1,Low,Moderate,Moderate,Speed Harmonization
Traffic Management Center,Class 3,Moderate,High,Moderate,Speed Harmonization
