Source,InformationFlow,Destination
Traffic Management Center,field device coordination,Maint and Constr Management Center
Traffic Management Center,traffic image meta data,Maint and Constr Management Center
Traffic Management Center,speed monitoring control,ITS Roadway Equipment
Traffic Management Center,traffic detector control,ITS Roadway Equipment
Traffic Management Center,traffic metering control,ITS Roadway Equipment
Traffic Management Center,roadway dynamic signage data,ITS Roadway Equipment
Traffic Management Center,video surveillance control,ITS Roadway Equipment
Traffic Management Center,lane management control,ITS Roadway Equipment
Traffic Management Center,variable speed limit control,ITS Roadway Equipment
Traffic Management Center,environmental sensor control,ITS Roadway Equipment
Traffic Management Center,infrastructure restriction warning control,ITS Roadway Equipment
Traffic Management Center,mixed use safety warning control,ITS Roadway Equipment
Traffic Management Center,rail crossing request,ITS Roadway Equipment
Traffic Management Center,rail crossing control data,ITS Roadway Equipment
Traffic Management Center,stop sign gap assist control,ITS Roadway Equipment
Traffic Management Center,signal control commands,ITS Roadway Equipment
Traffic Management Center,signal control device configuration,ITS Roadway Equipment
Traffic Management Center,signal control plans,ITS Roadway Equipment
Traffic Management Center,signal system configuration,ITS Roadway Equipment
Traffic Management Center,lighting system control data,ITS Roadway Equipment
Traffic Management Center,roadway warning system control,ITS Roadway Equipment
Traffic Management Center,barrier system control,ITS Roadway Equipment
Traffic Management Center,infrastructure monitoring sensor control,ITS Roadway Equipment
Traffic Management Center,reversible lane control,ITS Roadway Equipment
Traffic Management Center,safeguard system control,ITS Roadway Equipment
Traffic Management Center,shoulder management control,ITS Roadway Equipment
Traffic Management Center,passive vehicle monitoring control,ITS Roadway Equipment
Traffic Management Center,roadway advisory radio data,ITS Roadway Equipment
Traffic Management Center,signal enforcement device control,ITS Roadway Equipment
Traffic Management Center,speed warning application info,Connected Vehicle Roadside Equipment
Traffic Management Center,restricted lanes application info,Connected Vehicle Roadside Equipment
Traffic Management Center,road weather advisory info,Connected Vehicle Roadside Equipment
Traffic Management Center,infrastructure restriction warning info,Connected Vehicle Roadside Equipment
Traffic Management Center,intersection safety application info,Connected Vehicle Roadside Equipment
Traffic Management Center,stop sign gap assist info,Connected Vehicle Roadside Equipment
Traffic Management Center,rail crossing application info,Connected Vehicle Roadside Equipment
Traffic Management Center,vehicle signage application info,Connected Vehicle Roadside Equipment
Traffic Management Center,intersection management application info,Connected Vehicle Roadside Equipment
Traffic Management Center,speed management application information,Connected Vehicle Roadside Equipment
Traffic Management Center,traffic metering application info,Connected Vehicle Roadside Equipment
Traffic Management Center,lighting management application info,Connected Vehicle Roadside Equipment
Traffic Management Center,automated lane control data,Connected Vehicle Roadside Equipment
Traffic Management Center,queue warning application information,Connected Vehicle Roadside Equipment
Traffic Management Center,controlled zone application info,Connected Vehicle Roadside Equipment
Traffic Management Center,traffic monitoring application info,Connected Vehicle Roadside Equipment
Traffic Management Center,situation data collection parameters,Connected Vehicle Roadside Equipment
Traffic Management Center,road closure application info,Connected Vehicle Roadside Equipment
Traffic Management Center,cooperative cruise control application data,Connected Vehicle Roadside Equipment
Traffic Management Center,environmental monitoring application info,Connected Vehicle Roadside Equipment
Traffic Management Center,intermodal freight traffic information,Intermodal Terminal
Traffic Management Center,road network conditions,Fleet and Freight Management Center
Traffic Management Center,traffic images,Transportation Information Center
Traffic Management Center,road network conditions,Transportation Information Center
Traffic Management Center,intersection status,Transportation Information Center
Traffic Management Center,speed management information,Transportation Information Center
Traffic Management Center,automated lane control data,Transportation Information Center
Traffic Management Center,transportation operational strategies,Transportation Information Center
Traffic Management Center,incident information for public,Transportation Information Center
Traffic Management Center,traffic control information,Transportation Information Center
Traffic Management Center,lane closure information,Transportation Information Center
Traffic Management Center,reduced speed warning info,Transportation Information Center
Traffic Management Center,restricted lanes information,Transportation Information Center
Traffic Management Center,traffic image meta data,Transportation Information Center
Traffic Management Center,traffic images,Transit Management Center
Traffic Management Center,road network conditions,Transit Management Center
Traffic Management Center,incident information,Transit Management Center
Traffic Management Center,traffic control priority status,Transit Management Center
Traffic Management Center,transportation operational strategies,Transit Management Center
Traffic Management Center,dynamic bus lane status,Transit Management Center
Traffic Management Center,traffic image meta data,Transit Management Center
Traffic Management Center,traffic operator data,Traffic Operations Personnel
Traffic Management Center,road network conditions,Emissions Management Center
Traffic Management Center,low emissions zone coordination,Emissions Management Center
Traffic Management Center,transportation operational strategies,Emissions Management Center
Traffic Management Center,road network environmental situation data,Weather Service System
Traffic Management Center,environmental conditions data,Weather Service System
Traffic Management Center,road network environmental situation data,Surface Transportation Weather Service
Traffic Management Center,environmental conditions data,Surface Transportation Weather Service
Traffic Management Center,traffic archive data,Archived Data System
Traffic Management Center,lane violation notification,Enforcement Center
Traffic Management Center,current lane restrictions,Enforcement Center
Traffic Management Center,request for enforcement,Enforcement Center
Traffic Management Center,service patrol dispatch request,Emergency Vehicle OBE
Traffic Management Center,traffic images,Other Traffic Management Centers
Traffic Management Center,road network conditions,Other Traffic Management Centers
Traffic Management Center,device data,Other Traffic Management Centers
Traffic Management Center,device status,Other Traffic Management Centers
Traffic Management Center,incident information,Other Traffic Management Centers
Traffic Management Center,device control request,Other Traffic Management Centers
Traffic Management Center,transportation operational strategies,Other Traffic Management Centers
Traffic Management Center,emergency traffic coordination,Other Traffic Management Centers
Traffic Management Center,traffic image meta data,Other Traffic Management Centers
Traffic Management Center,transportation operational strategies,Payment Administration Center
Traffic Management Center,event confirmation,Event Promoter System
Traffic Management Center,transportation operational strategies,Event Promoter System
Traffic Management Center,traffic images,Emergency Management Center
Traffic Management Center,road network conditions,Emergency Management Center
Traffic Management Center,incident information,Emergency Management Center
Traffic Management Center,emergency traffic control information,Emergency Management Center
Traffic Management Center,transportation operational strategies,Emergency Management Center
Traffic Management Center,emergency plan coordination,Emergency Management Center
Traffic Management Center,road network status assessment,Emergency Management Center
Traffic Management Center,emergency routes,Emergency Management Center
Traffic Management Center,alert status,Emergency Management Center
Traffic Management Center,incident response status,Emergency Management Center
Traffic Management Center,resource deployment status,Emergency Management Center
Traffic Management Center,resource request,Emergency Management Center
Traffic Management Center,traffic image meta data,Emergency Management Center
Traffic Management Center,wrong way vehicle notification,Emergency Management Center
Traffic Management Center,rail crossing advisories,Rail Operations Center
Traffic Management Center,traffic images,Media
Traffic Management Center,traffic information for media,Media
Traffic Management Center,traffic image meta data,Media
Traffic Management Center,traffic images,Border Inspection System
Traffic Management Center,border incident information,Border Inspection System
Traffic Management Center,traffic image meta data,Border Inspection System
Traffic Management Center,road network conditions,Commercial Vehicle Administration Center
Traffic Management Center,multimodal crossing inhibit,Multimodal Crossing Equipment
Traffic Management Center,threat information,Alerting and Advisory System
Traffic Management Center,transportation operational strategies,Parking Management Center
Traffic Management Center,parking traffic information,Parking Management Center
Maint and Constr Management Center,current infrastructure restrictions,Map Update System
Maint and Constr Management Center,road weather information,Traffic Management Center
Maint and Constr Management Center,current infrastructure restrictions,Traffic Management Center
Maint and Constr Management Center,work zone information,Traffic Management Center
Maint and Constr Management Center,incident information,Traffic Management Center
Maint and Constr Management Center,traffic control priority request,Traffic Management Center
Maint and Constr Management Center,roadway maintenance status,Traffic Management Center
Maint and Constr Management Center,maint and constr work plans,Traffic Management Center
Maint and Constr Management Center,road network status assessment,Traffic Management Center
Maint and Constr Management Center,environmental conditions data,Traffic Management Center
Maint and Constr Management Center,maint and constr resource response,Traffic Management Center
Maint and Constr Management Center,field device coordination,Traffic Management Center
Maint and Constr Management Center,speed monitoring control,ITS Roadway Equipment
Maint and Constr Management Center,traffic detector control,ITS Roadway Equipment
Maint and Constr Management Center,roadway dynamic signage data,ITS Roadway Equipment
Maint and Constr Management Center,video surveillance control,ITS Roadway Equipment
Maint and Constr Management Center,environmental sensor control,ITS Roadway Equipment
Maint and Constr Management Center,work zone warning device control,ITS Roadway Equipment
Maint and Constr Management Center,barrier system control,ITS Roadway Equipment
Maint and Constr Management Center,infrastructure monitoring sensor control,ITS Roadway Equipment
Maint and Constr Management Center,roadway treatment system control,ITS Roadway Equipment
Maint and Constr Management Center,roadway advisory radio data,ITS Roadway Equipment
Maint and Constr Management Center,speed warning application info,Connected Vehicle Roadside Equipment
Maint and Constr Management Center,work zone safety application info,Connected Vehicle Roadside Equipment
Maint and Constr Management Center,vehicle signage application info,Connected Vehicle Roadside Equipment
Maint and Constr Management Center,environmental monitoring application info,Connected Vehicle Roadside Equipment
Maint and Constr Management Center,infrastructure safety warning,Connected Vehicle Roadside Equipment
Maint and Constr Management Center,road weather information,Transportation Information Center
Maint and Constr Management Center,current infrastructure restrictions,Transportation Information Center
Maint and Constr Management Center,work zone information,Transportation Information Center
Maint and Constr Management Center,roadway maintenance status,Transportation Information Center
Maint and Constr Management Center,maint and constr work plans,Transportation Information Center
Maint and Constr Management Center,lane closure information,Transportation Information Center
Maint and Constr Management Center,environmental conditions data,Transportation Information Center
Maint and Constr Management Center,infrastructure safety warning,Transportation Information Center
Maint and Constr Management Center,road weather information,Transit Management Center
Maint and Constr Management Center,current infrastructure restrictions,Transit Management Center
Maint and Constr Management Center,work zone information,Transit Management Center
Maint and Constr Management Center,roadway maintenance status,Transit Management Center
Maint and Constr Management Center,maint and constr work plans,Transit Management Center
Maint and Constr Management Center,maint and constr work plans,Alternate Mode Transportation Center
Maint and Constr Management Center,road weather information,Weather Service System
Maint and Constr Management Center,environmental conditions data,Weather Service System
Maint and Constr Management Center,road weather information,Surface Transportation Weather Service
Maint and Constr Management Center,environmental conditions data,Surface Transportation Weather Service
Maint and Constr Management Center,road treatment data,Surface Transportation Weather Service
Maint and Constr Management Center,environmental sensor control,Maint and Constr Vehicle OBE
Maint and Constr Management Center,work zone warning device control,Maint and Constr Vehicle OBE
Maint and Constr Management Center,maint and constr dispatch information,Maint and Constr Vehicle OBE
Maint and Constr Management Center,maint and constr vehicle system control,Maint and Constr Vehicle OBE
Maint and Constr Management Center,asset location safety warning,Maint and Constr Vehicle OBE
Maint and Constr Management Center,maint and constr archive data,Archived Data System
Maint and Constr Management Center,request for enforcement,Enforcement Center
Maint and Constr Management Center,maint and constr operations information presentation,Maint and Constr Center Personnel
Maint and Constr Management Center,road weather information,Emergency Management Center
Maint and Constr Management Center,current infrastructure restrictions,Emergency Management Center
Maint and Constr Management Center,work zone information,Emergency Management Center
Maint and Constr Management Center,incident information,Emergency Management Center
Maint and Constr Management Center,roadway maintenance status,Emergency Management Center
Maint and Constr Management Center,maint and constr work plans,Emergency Management Center
Maint and Constr Management Center,emergency plan coordination,Emergency Management Center
Maint and Constr Management Center,road network status assessment,Emergency Management Center
Maint and Constr Management Center,alert status,Emergency Management Center
Maint and Constr Management Center,maint and constr resource response,Emergency Management Center
Maint and Constr Management Center,road weather information,Rail Operations Center
Maint and Constr Management Center,maint and constr work plans,Rail Operations Center
Maint and Constr Management Center,road weather information,Media
Maint and Constr Management Center,work zone information,Media
Maint and Constr Management Center,roadway maintenance status,Media
Maint and Constr Management Center,maint and constr work plans,Media
Maint and Constr Management Center,current infrastructure restrictions,Commercial Vehicle Administration Center
Maint and Constr Management Center,equipment maintenance status,Center
Maint and Constr Management Center,special vehicle restricted use information,Center
Maint and Constr Management Center,storage facility request,Storage Facility Data Acquisition System
Maint and Constr Management Center,maint and constr work performance,Maint and Constr Administrative Systems
Maint and Constr Management Center,maint and constr administrative request,Maint and Constr Administrative Systems
Maint and Constr Management Center,road weather information,Other Maint and Constr Mgmt Centers
Maint and Constr Management Center,work zone information,Other Maint and Constr Mgmt Centers
Maint and Constr Management Center,roadway maintenance status,Other Maint and Constr Mgmt Centers
Maint and Constr Management Center,maint and constr resource coordination,Other Maint and Constr Mgmt Centers
Maint and Constr Management Center,work plan coordination,Other Maint and Constr Mgmt Centers
Maint and Constr Management Center,asset status update,Asset Management System
Maint and Constr Management Center,asset inventory locations,Asset Management System
Maint and Constr Management Center,maint and constr fleet information,Equipment Repair Facility
Maint and Constr Management Center,METR coordination,METR System
Maint and Constr Management Center,METR TCD discrepancy status,METR System
Maint and Constr Management Center,asset location safety warning,Personnel Device
Maint and Constr Management Center,METR coordination,METR Regulation System
Maint and Constr Management Center,METR TCD discrepancy status,METR Regulation System
ITS Roadway Equipment,driver information,Driver
ITS Roadway Equipment,speed monitoring information,Traffic Management Center
ITS Roadway Equipment,traffic detector data,Traffic Management Center
ITS Roadway Equipment,traffic images,Traffic Management Center
ITS Roadway Equipment,traffic metering status,Traffic Management Center
ITS Roadway Equipment,roadway dynamic signage status,Traffic Management Center
ITS Roadway Equipment,lane management information,Traffic Management Center
ITS Roadway Equipment,variable speed limit status,Traffic Management Center
ITS Roadway Equipment,environmental sensor data,Traffic Management Center
ITS Roadway Equipment,mixed use safety warning status,Traffic Management Center
ITS Roadway Equipment,infrastructure restriction warning status,Traffic Management Center
ITS Roadway Equipment,rail crossing status,Traffic Management Center
ITS Roadway Equipment,rail crossing blockage notification,Traffic Management Center
ITS Roadway Equipment,signal control status,Traffic Management Center
ITS Roadway Equipment,stop sign gap assist status,Traffic Management Center
ITS Roadway Equipment,lighting system status,Traffic Management Center
ITS Roadway Equipment,right-of-way request notification,Traffic Management Center
ITS Roadway Equipment,roadway warning system status,Traffic Management Center
ITS Roadway Equipment,barrier system status,Traffic Management Center
ITS Roadway Equipment,infrastructure monitoring sensor data,Traffic Management Center
ITS Roadway Equipment,reversible lane status,Traffic Management Center
ITS Roadway Equipment,safeguard system status,Traffic Management Center
ITS Roadway Equipment,shoulder management information,Traffic Management Center
ITS Roadway Equipment,signal fault data,Traffic Management Center
ITS Roadway Equipment,passive vehicle monitoring data,Traffic Management Center
ITS Roadway Equipment,wrong way vehicle detected,Traffic Management Center
ITS Roadway Equipment,roadway advisory radio status,Traffic Management Center
ITS Roadway Equipment,traffic image meta data,Traffic Management Center
ITS Roadway Equipment,signal enforcement device status,Traffic Management Center
ITS Roadway Equipment,speed monitoring information,Maint and Constr Management Center
ITS Roadway Equipment,traffic detector data,Maint and Constr Management Center
ITS Roadway Equipment,traffic images,Maint and Constr Management Center
ITS Roadway Equipment,roadway dynamic signage status,Maint and Constr Management Center
ITS Roadway Equipment,environmental sensor data,Maint and Constr Management Center
ITS Roadway Equipment,work zone warning status,Maint and Constr Management Center
ITS Roadway Equipment,barrier system status,Maint and Constr Management Center
ITS Roadway Equipment,infrastructure monitoring sensor data,Maint and Constr Management Center
ITS Roadway Equipment,roadway treatment system status,Maint and Constr Management Center
ITS Roadway Equipment,roadway advisory radio status,Maint and Constr Management Center
ITS Roadway Equipment,traffic image meta data,Maint and Constr Management Center
ITS Roadway Equipment,roadway dynamic signage status,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,environmental sensor data,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,infrastructure restriction warning,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,mixed use crossing status,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,arriving train information,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,traffic gap information,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,work zone warning notification,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,track status,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,vehicle entries and exits,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,intersection control status,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,vehicle signage local data,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,conflict monitor status,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,barrier system status,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,incident scene warning notification,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,reduced speed warning info,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,wrong way vehicle detected,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,field equipment status for METR,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,detected unequipped vehicles and VRUs,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,detected obstacles,Connected Vehicle Roadside Equipment
ITS Roadway Equipment,driver information,Commercial Vehicle Driver
ITS Roadway Equipment,driver information,Transit Vehicle Operator
ITS Roadway Equipment,transit vehicle operator signal indications,Transit Vehicle Operator
ITS Roadway Equipment,air quality sensor data,Emissions Management Center
ITS Roadway Equipment,vehicle emissions data,Emissions Management Center
ITS Roadway Equipment,noise data,Emissions Management Center
ITS Roadway Equipment,environmental sensor data,Weather Service System
ITS Roadway Equipment,environmental sensor data,Surface Transportation Weather Service
ITS Roadway Equipment,traffic detector data,Maint and Constr Vehicle OBE
ITS Roadway Equipment,traffic images,Maint and Constr Vehicle OBE
ITS Roadway Equipment,roadway dynamic signage status,Maint and Constr Vehicle OBE
ITS Roadway Equipment,environmental sensor data,Maint and Constr Vehicle OBE
ITS Roadway Equipment,infrastructure monitoring sensor data,Maint and Constr Vehicle OBE
ITS Roadway Equipment,traffic image meta data,Maint and Constr Vehicle OBE
ITS Roadway Equipment,roadside archive data,Archived Data System
ITS Roadway Equipment,speed monitoring information,Enforcement Center
ITS Roadway Equipment,violation notification,Enforcement Center
ITS Roadway Equipment,signal violation notification,Enforcement Center
ITS Roadway Equipment,rail crossing blockage notification,Wayside Equipment
ITS Roadway Equipment,rail crossing operational status,Wayside Equipment
ITS Roadway Equipment,work zone warning,Maint and Constr Field Personnel
ITS Roadway Equipment,crossing permission,Pedestrian
ITS Roadway Equipment,driver information,Emergency Personnel
ITS Roadway Equipment,incident scene warning,Emergency Personnel
ITS Roadway Equipment,incident scene warning status,Emergency Management Center
ITS Roadway Equipment,roadway treatment coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,environmental sensor coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,lane management coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,traffic detector coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,vehicle occupancy coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,passive vehicle monitoring coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,video surveillance coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,signal control coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,right-of-way request coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,dynamic sign coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,traffic metering coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,advisory radio coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,roadway warning coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,reversible lane coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,barrier system coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,variable speed limit coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,shoulder management coordination,Other ITS Roadway Equipment
ITS Roadway Equipment,highway control status,Multimodal Crossing Equipment
ITS Roadway Equipment,broadcast advisories,Basic Vehicle
ITS Roadway Equipment,crossing permission,MMV User
ITS Roadway Equipment,traveler safety information,MMV User
ITS Roadway Equipment,driver information,Maint and Constr Vehicle Operator
ITS Roadway Equipment,driver information,Light Vehicle Driver
Connected Vehicle Roadside Equipment,map updates,Vehicle
Connected Vehicle Roadside Equipment,intersection geometry,Vehicle
Connected Vehicle Roadside Equipment,roadway geometry,Vehicle
Connected Vehicle Roadside Equipment,reduced speed notification,Vehicle
Connected Vehicle Roadside Equipment,vehicle signage data,Vehicle
Connected Vehicle Roadside Equipment,road weather advisories,Vehicle
Connected Vehicle Roadside Equipment,infrastructure restriction warning notification,Vehicle
Connected Vehicle Roadside Equipment,arriving train information,Vehicle
Connected Vehicle Roadside Equipment,intersection status,Vehicle
Connected Vehicle Roadside Equipment,traffic gap information,Vehicle
Connected Vehicle Roadside Equipment,intersection safety warning,Vehicle
Connected Vehicle Roadside Equipment,low emissions zone parameters,Vehicle
Connected Vehicle Roadside Equipment,speed management information,Vehicle
Connected Vehicle Roadside Equipment,automated vehicle control parameters,Vehicle
Connected Vehicle Roadside Equipment,local traveler information,Vehicle
Connected Vehicle Roadside Equipment,location correction,Vehicle
Connected Vehicle Roadside Equipment,queue warning information,Vehicle
Connected Vehicle Roadside Equipment,parking facility geometry,Vehicle
Connected Vehicle Roadside Equipment,vehicle situation data parameters,Vehicle
Connected Vehicle Roadside Equipment,parking availability,Vehicle
Connected Vehicle Roadside Equipment,access violation notification,Vehicle
Connected Vehicle Roadside Equipment,rail crossing warning,Vehicle
Connected Vehicle Roadside Equipment,lane closure information,Vehicle
Connected Vehicle Roadside Equipment,road closure information,Vehicle
Connected Vehicle Roadside Equipment,access permission,Vehicle
Connected Vehicle Roadside Equipment,proxied personal location,Vehicle
Connected Vehicle Roadside Equipment,vehicle cluster coordination,Vehicle
Connected Vehicle Roadside Equipment,cooperative adaptive cruise control parameters,Vehicle
Connected Vehicle Roadside Equipment,restricted lanes information,Vehicle
Connected Vehicle Roadside Equipment,wrong way vehicle detected,Vehicle
Connected Vehicle Roadside Equipment,infrastructure safety warning notification,Vehicle
Connected Vehicle Roadside Equipment,local METR information for users,Vehicle
Connected Vehicle Roadside Equipment,detected unequipped vehicles and VRUs,Vehicle
Connected Vehicle Roadside Equipment,detected obstacles,Vehicle
Connected Vehicle Roadside Equipment,vehicle location data for mapping,Map Update System
Connected Vehicle Roadside Equipment,restricted lanes application status,Traffic Management Center
Connected Vehicle Roadside Equipment,environmental situation data,Traffic Management Center
Connected Vehicle Roadside Equipment,road weather advisory status,Traffic Management Center
Connected Vehicle Roadside Equipment,intersection safety application status,Traffic Management Center
Connected Vehicle Roadside Equipment,infrastructure restriction warning status,Traffic Management Center
Connected Vehicle Roadside Equipment,traffic situation data,Traffic Management Center
Connected Vehicle Roadside Equipment,speed warning application status,Traffic Management Center
Connected Vehicle Roadside Equipment,rail crossing application status,Traffic Management Center
Connected Vehicle Roadside Equipment,vehicle signage application status,Traffic Management Center
Connected Vehicle Roadside Equipment,intersection management application status,Traffic Management Center
Connected Vehicle Roadside Equipment,speed management application status,Traffic Management Center
Connected Vehicle Roadside Equipment,traffic metering application status,Traffic Management Center
Connected Vehicle Roadside Equipment,lighting management application status,Traffic Management Center
Connected Vehicle Roadside Equipment,automated lane status,Traffic Management Center
Connected Vehicle Roadside Equipment,queue warning application status,Traffic Management Center
Connected Vehicle Roadside Equipment,controlled zone application status,Traffic Management Center
Connected Vehicle Roadside Equipment,traffic monitoring application status,Traffic Management Center
Connected Vehicle Roadside Equipment,local border wait times,Traffic Management Center
Connected Vehicle Roadside Equipment,stop sign gap assist RSE status,Traffic Management Center
Connected Vehicle Roadside Equipment,road closure application status,Traffic Management Center
Connected Vehicle Roadside Equipment,cooperative cruise control application status,Traffic Management Center
Connected Vehicle Roadside Equipment,environmental monitoring application status,Traffic Management Center
Connected Vehicle Roadside Equipment,environmental situation data,Maint and Constr Management Center
Connected Vehicle Roadside Equipment,speed warning application status,Maint and Constr Management Center
Connected Vehicle Roadside Equipment,work zone safety application status,Maint and Constr Management Center
