NodeName,isCyber,isPhysical,isSocial,Functions
Driver Identification Card,1,1,0,
Multimodal Crossing Equipment,1,1,0,
Parking Operator,0,1,1,
CVO Information Requestor Center,1,0,1,
Other Archived Data Systems,1,0,0,
Archived Data Administrator,1,1,1,
Other Data Sources,1,1,1,
Other Parking Management Centers,1,0,0,
Other Maint and Constr Mgmt Centers,1,1,0,
Asset Management System,1,1,1,
Equipment Repair Facility,1,1,0,
Alerting and Advisory System,1,1,1,
Basic Vehicle,1,1,0,
MMV User,1,1,1,
Commercial Vehicle Administrator,1,1,1,
Position Corrections Source,1,1,0,
Field,0,1,0,
Center Personnel,0,1,1,
Support Maintenance Personnel,1,1,1,
Field System Operator,1,1,1,
Vehicle Service Center,1,1,0,
Support Maintenance Equipment,1,1,0,
Maint and Constr Vehicle Operator,0,1,1,
METR System,1,0,0,
Other Connected Vehicle Roadside Equipment,1,0,0,
ITS Object,0,0,0,
Other ITS Objects,0,0,0,
ITS Communications Equipment,1,1,0,
Personnel Device,1,1,0,
Identifier Registry,1,0,0,
Other Identifier Registries,1,0,0,
Certification System,1,1,0,
Certification System Operator,1,1,1,
Parking Management Center,1,1,0,
Parking Manager,1,1,1,
Vehicle Characteristics,0,1,0,
Roadway Environment,0,1,0,
Potential Obstacles,0,1,0,
Vulnerable Road Users,0,1,1,
Other Border Inspection Administration Centers,1,1,0,
Other Border Inspection Systems,1,1,0,
Roadside Communications Unit,1,1,0,
Wireless Communications  Provider System,1,1,0,
Remote Access Device,1,1,0,
Electric Utility,1,1,0,
Elector,1,0,0,
Supplementary Authorization Server,1,0,0,
Certificate Access Manager,1,0,0,
CCMS Manager System,1,1,0,
Root CA,1,0,0,
Intermediate CA,1,0,0,
Authorization CA,1,0,0,
Enrollment CA,1,0,0,
Linkage Authority,1,0,0,
Distribution Center,1,0,0,
Device Configuration Manager,1,0,0,
Location Obscurer Proxy,1,0,0,
Registration Authority,1,0,0,
Misbehavior Authority,1,0,0,
Shared Use Transportation Center,1,1,0,
Eligibility Certification Management System,1,1,0,
Other PIDs,1,1,0,
Micromobility Vehicle OBE,1,1,0,
Personal Safety Device,0,1,0,
Other Micromobility Vehicle OBEs,1,1,0,
Pathway Equipment,1,1,0,
Pathway Communications Unit,1,1,0,
SUTC Operator,1,1,1,
Light Vehicle OBE,0,1,0,
METR Rule-Maker,1,0,0,
METR Rule Translator Agent,1,0,0,
METR Regulation System,1,0,0,
METR Verification System,1,0,0,
METR Discrepancy Handling System,1,0,0,
Other METR Distribution Centers,1,0,0,
Non-METR Distribution Center,1,0,0,
Other METR Regulation Systems,1,0,0,
Other METR Discrepancy Handling Systems,1,0,0,
METR Discrepancy Contact System,1,0,0,
Light Vehicle Driver,0,1,1,
Personal,0,0,0,
Electric Charging Management Center,1,1,0,
METR Distribution Center,1,1,0,
METR Rule-Maker/Agent,1,1,1,
Other METR Systems,1,0,0,
